country_whitelist,country_blacklist,parents,title,alias
,,localservices,3D Printing,3dprinting
,,italian,Abruzzese,abruzzese
IT,,,Abruzzese,abruzzese
,,bars,Absinthe Bars,absinthebars
CZ,,,Absinthe Bars,absinthebars
,,food,Acai Bowls,acaibowls
,AR,,Acai Bowls,acaibowls
,PL,,Acai Bowls,acaibowls
,CL,,Acai Bowls,acaibowls
,MX,,Acai Bowls,acaibowls
,IT,,Acai Bowls,acaibowls
,TR,,Acai Bowls,acaibowls
,,fashion,Accessories,accessories
,,professional,Accountants,accountants
,,beautysvc,Acne Treatment,acnetreatment
,,,Active Life,active
,,health,Acupuncture,acupuncture
,,physicians,Addiction Medicine,addictionmedicine
,JP,,Addiction Medicine,addictionmedicine
,,localservices,Adoption Services,adoptionservices
,,shopping,Adult,adult
,,education,Adult Education,adultedu
,,nightlife,Adult Entertainment,adultentertainment
,,professional,Advertising,advertising
,,fitness,Aerial Fitness,aerialfitness
,,tours,Aerial Tours,aerialtours
,,medicalspa,Aestheticians,aestheticians
,AR,,Aestheticians,aestheticians
,CH,,Aestheticians,aestheticians
,BE,,Aestheticians,aestheticians
,CL,,Aestheticians,aestheticians
,FR,,Aestheticians,aestheticians
,MX,,Aestheticians,aestheticians
,,restaurants,Afghan,afghani
,MX,,Afghan,afghani
,TR,,Afghan,afghani
,,restaurants,African,african
,TR,,African,african
,,religiousorgs,Afro-Brazilian,afrobrazilian
BR,,,Afro-Brazilian,afrobrazilian
,,hotels,Agriturismi,agriturismi
DE,,,Agriturismi,agriturismi
AR,,,Agriturismi,agriturismi
PL,,,Agriturismi,agriturismi
TW,,,Agriturismi,agriturismi
CH,,,Agriturismi,agriturismi
CL,,,Agriturismi,agriturismi
ES,,,Agriturismi,agriturismi
FR,,,Agriturismi,agriturismi
IT,,,Agriturismi,agriturismi
AT,,,Agriturismi,agriturismi
CZ,,,Agriturismi,agriturismi
MX,,,Agriturismi,agriturismi
,,auto,Aircraft Dealers,aircraftdealers
PT,,,Aircraft Dealers,aircraftdealers
CZ,,,Aircraft Dealers,aircraftdealers
US,,,Aircraft Dealers,aircraftdealers
,,auto,Aircraft Repairs,aircraftrepairs
,,localservices,Air Duct Cleaning,airductcleaning
MY,,,Air Duct Cleaning,airductcleaning
AU,,,Air Duct Cleaning,airductcleaning
US,,,Air Duct Cleaning,airductcleaning
CA,,,Air Duct Cleaning,airductcleaning
ES,,,Air Duct Cleaning,airductcleaning
IE,,,Air Duct Cleaning,airductcleaning
IT,,,Air Duct Cleaning,airductcleaning
NZ,,,Air Duct Cleaning,airductcleaning
PH,,,Air Duct Cleaning,airductcleaning
SG,,,Air Duct Cleaning,airductcleaning
GB,,,Air Duct Cleaning,airductcleaning
,,transport,Airlines,airlines
,,transport,Airport Shuttles,airport_shuttles
,,bars,Airport Lounges,airportlounges
,,hotelstravel,Airports,airports
,,airports,Airport Terminals,airportterminals
,,active,Airsoft,airsoft
,,portuguese,Alentejo,alentejo
PT,,,Alentejo,alentejo
,,portuguese,Algarve,algarve
PT,,,Algarve,algarve
,,physicians,Allergists,allergist
,,french,Alsatian,alsatian
DE,,,Alsatian,alsatian
FR,,,Alsatian,alsatian
,,health,Alternative Medicine,alternativemedicine
,DE,,Alternative Medicine,alternativemedicine
,PL,,Alternative Medicine,alternativemedicine
,CH,,Alternative Medicine,alternativemedicine
,HK,,Alternative Medicine,alternativemedicine
,FI,,Alternative Medicine,alternativemedicine
,AR,,Alternative Medicine,alternativemedicine
,MY,,Alternative Medicine,alternativemedicine
,TW,,Alternative Medicine,alternativemedicine
,JP,,Alternative Medicine,alternativemedicine
,CL,,Alternative Medicine,alternativemedicine
,ES,,Alternative Medicine,alternativemedicine
,PT,,Alternative Medicine,alternativemedicine
,TR,,Alternative Medicine,alternativemedicine
,AT,,Alternative Medicine,alternativemedicine
,PH,,Alternative Medicine,alternativemedicine
,MX,,Alternative Medicine,alternativemedicine
,,italian,Altoatesine,altoatesine
IT,,,Altoatesine,altoatesine
